target,occurrence,person,audio,subid,trial,leftpic,rightpic,correct,subject
G1,1,child,05_08,5,8,G1,C1,N,110
H1,1,parent,28_07,28,7,D1,H1,N,110
I1,2,child,53_35,53,35,I1,C1,Y,110
K1,2,child,69_37,69,37,K1,D1,Y,110
A1,1,child,61_04,61,4,H1,A1,Y,111
B1,1,child,54_06,54,6,B1,K1,Y,111
C1,1,parent,12_05,12,5,A1,C1,Y,111
D1,1,child,13_02,13,2,D1,K1,Y,111
E1,1,parent,74_03,74,3,I1,E1,Y,111
G1,2,child,27_31,27,31,K1,G1,Y,111
H1,2,child,31_39,31,39,H1,E1,Y,111
K1,2,child,48_33,48,33,B1,K1,Y,111
A1,1,parent,18_07,18,7,A1,D1,Y,112
B1,1,parent,58_09,58,9,D1,B1,Y,112
C1,1,child,38_08,38,8,C1,E1,Y,112
D1,2,child,51_39,51,39,F1,D1,Y,112
E1,2,child,55_31,55,31,E1,B1,Y,112
H1,2,child,59_35,59,35,H1,C1,Y,112
I1,1,parent,58_01,58,1,E1,I1,Y,112
K1,1,child,55_06,55,6,A1,K1,Y,112
A1,2,child,17_39,17,39,A1,D1,N,113
B1,2,parent,75_36,75,36,K1,B1,Y,113
C1,2,child,53_31,53,31,H1,C1,Y,113
D1,2,child,36_37,36,37,D1,K1,Y,113
E1,2,child,58_33,58,33,E1,A1,Y,113
F1,1,child,05_02,5,2,B1,F1,N,113
G1,1,parent,15_03,15,3,D1,G1,Y,113
H1,1,child,09_06,9,6,C1,H1,Y,113
I1,1,child,74_10,74,10,I1,C1,Y,113
K1,1,parent,11_03,11,3,F1,K1,Y,113
A1,2,child,33_31,33,31,H1,A1,Y,114
D1,1,child,73_06,73,6,D1,E1,Y,114
E1,1,child,20_04,20,4,E1,A1,Y,114
F1,1,parent,55_09,55,9,F1,B1,Y,114
G1,1,child,51_06,51,6,G1,C1,Y,114
H1,1,parent,20_09,20,9,A1,H1,Y,114
I1,2,child,70_39,70,39,B1,I1,Y,114
K1,2,child,51_37,51,37,F1,K1,Y,114
A1,1,child,13_06,13,6,D1,A1,Y,115
B1,1,child,71_10,71,10,B1,I1,Y,115
C1,1,parent,64_03,64,3,A1,C1,Y,115
D1,1,parent,12_03,12,3,D1,E1,Y,115
E1,1,parent,30_03,30,3,I1,E1,Y,115
G1,2,child,75_37,75,37,G1,C1,Y,115
K1,2,child,05_35,5,35,K1,A1,Y,115
A1,1,parent,12_07,12,7,D1,A1,Y,116
B1,1,parent,39_03,39,3,B1,D1,Y,116
C1,1,child,55_10,55,10,C1,I1,Y,116
D1,2,child,62_37,62,37,D1,E1,Y,116
I1,1,parent,70_01,70,1,A1,I1,Y,116
K1,1,child,42_02,42,2,K1,B1,Y,116
A1,2,child,34_37,34,37,A1,K1,Y,117
B1,2,parent,69_36,69,36,I1,B1,Y,117
C1,2,child,58_35,58,35,C1,A1,Y,117
D1,2,child,26_39,26,39,F1,D1,Y,117
F1,1,child,31_02,31,2,B1,F1,Y,117
G1,1,parent,55_01,55,1,D1,G1,Y,117
H1,1,child,10_02,10,2,E1,H1,Y,117
I1,1,child,57_06,57,6,A1,I1,Y,117
K1,1,parent,45_05,45,5,D1,K1,Y,117
D1,1,child,17_10,17,10,D1,E1,Y,118
E1,1,child,73_02,73,2,E1,I1,N,118
F1,1,parent,72_03,72,3,C1,F1,Y,118
G1,1,child,46_06,46,6,G1,C1,Y,118
H1,1,parent,18_09,18,9,H1,E1,Y,118
I1,2,child,46_35,46,35,I1,E1,Y,118
A1,1,child,57_08,57,8,I1,A1,Y,119
B1,1,child,17_02,17,2,B1,K1,Y,119
C1,1,parent,59_03,59,3,C1,A1,Y,119
D1,1,parent,30_07,30,7,D1,H1,Y,119
E1,1,parent,49_03,49,3,H1,E1,Y,119
G1,2,child,18_39,18,39,E1,G1,Y,119
H1,2,parent,52_34,52,34,A1,H1,Y,119
I1,2,child,27_37,27,37,I1,E1,Y,119
