age,person,subid,measure,score
6,child,39,log_freq,5700.531005898294
6,child,50,mtld,21.992161985630307
6,child,50,types,50
6,child,50,aoa,3.940382094017094
6,child,50,log_freq,8083.2668007373895
6,child,52,mtld,25.11111111111111
6,child,52,types,44
6,child,52,aoa,4.1511866363636365
6,child,52,log_freq,4815.844251336898
6,child,58,mtld,24.1210608424337
6,child,58,types,81
6,child,58,aoa,4.1260960454545454
6,child,58,log_freq,7339.745692216281
6,child,59,mtld,29.721641484457024
6,child,59,types,120
6,child,59,aoa,4.051707372641509
6,child,59,log_freq,6458.749075101739
6,child,66,mtld,31.672550213024955
6,child,66,types,151
6,child,66,aoa,4.265543446236559
6,child,66,log_freq,7439.752899009066
6,child,68,mtld,34.15424164524421
6,child,68,types,94
6,child,68,aoa,4.097500634782609
6,child,68,log_freq,9114.312872975277
6,child,69,mtld,22.46333853354134
6,child,69,types,71
6,child,69,aoa,4.208946086956522
6,child,69,log_freq,6046.377237851662
6,child,70,mtld,23.306753458096015
6,child,70,types,95
6,child,70,aoa,4.153843456896552
6,child,70,log_freq,7998.306879648411
6,child,73,mtld,21.895848195177628
6,child,73,types,144
6,child,73,aoa,4.276262893617021
6,child,73,log_freq,7251.805798915311
6,child,74,mtld,12.80109681501793
6,child,74,types,52
6,child,74,aoa,4.245321133802817
6,child,74,log_freq,8618.467136150235
6,parent,4,mtld,39.5410549211528
6,parent,4,types,128
6,parent,4,aoa,4.358142235741445
6,parent,4,log_freq,6243.267799895624
6,parent,7,mtld,26.071881376683443
6,parent,7,types,73
6,parent,7,aoa,4.315309494047619
6,parent,7,log_freq,6712.985060690943
6,parent,9,mtld,38.111111111111114
6,parent,9,types,112
6,parent,9,aoa,4.315869897233202
6,parent,9,log_freq,6511.827636983648
6,parent,12,mtld,17.9920177383592
6,parent,12,types,72
6,parent,12,aoa,4.006495397129187
6,parent,12,log_freq,10793.80992588423
6,parent,13,mtld,32.304080491894915
6,parent,13,types,86
6,parent,13,aoa,4.154667529411765
6,parent,13,log_freq,6176.734102268359
6,parent,31,mtld,44.646954882789494
6,parent,31,types,129
6,parent,31,aoa,4.496245054794521
6,parent,31,log_freq,5558.8388396454475
6,parent,32,mtld,19.148936170212767
6,parent,32,types,93
6,parent,32,aoa,4.286270830670927
6,parent,32,log_freq,8250.855603583286
6,parent,36,mtld,26.802409638554217
6,parent,36,types,93
6,parent,36,aoa,4.323914494318182
6,parent,36,log_freq,6009.636029411765
6,parent,39,mtld,37.88908275724982
6,parent,39,types,100
6,parent,39,aoa,4.430774177777778
6,parent,39,log_freq,5870.579782135076
6,parent,50,mtld,24.428571428571427
6,parent,50,types,53
6,parent,50,aoa,4.31065587254902
6,parent,50,log_freq,8870.353517877738
6,parent,52,mtld,29.61629881154499
6,parent,52,types,65
6,parent,52,aoa,4.451560897260275
6,parent,52,log_freq,6020.692183722805
6,parent,58,mtld,28.856385645727386
6,parent,58,types,85
6,parent,58,aoa,4.416820582352941
6,parent,58,log_freq,6064.491349480969
6,parent,59,mtld,35.10497900419916
6,parent,59,types,129
6,parent,59,aoa,4.209625139372823
