iterationName,id,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,age_group,age,button_pressed,utt_length,clean_utt,informativity
NA,kid_13,13,NA,shirt,5290.4,familiar,far,poloshirt.jpg,dress.jpg,NA,22,576081,kid,5,NA,5,shirt,1
NA,kid_13,13,NA,bird,4997,familiar,far,sparrow.jpg,squirrel.jpg,NA,23,581586,kid,5,NA,4,bird,1
NA,kid_13,13,NA,bear,4202,familiar,far,grizzlybear.jpg,lion.jpg,NA,24,586296,kid,5,NA,4,bear,1
NA,kid_13,13,NA,jellybeans,5627.3,familiar,far,jellybeans.jpg,pretzels.jpg,NA,25,592429,kid,5,NA,10,jellybeans,1
NA,kid_13,13,NA,dog,4707.1,familiar,far,germanshepherd.jpg,cow.jpg,NA,26,597645,kid,5,NA,3,dog,1
NA,kid_13,13,NA,someone running,15219,tangram,close,tangram-67.jpg,tangram-32.jpg,NA,28,626267,kid,5,NA,15,run,
NA,kid_13,13,NA,i dont know,86803.2,tangram,close,A2.jpg,tangram-99.jpg,NA,29,713580,kid,5,NA,11,idoknow,
NA,kid_13,13,NA,someone running,8430.8,tangram,close,tangram-55.jpg,N1.jpg,NA,30,722518,kid,5,NA,15,run,
NA,kid_13,13,NA,someone on one tippy toe,15176.6,tangram,close,tangram-48.jpg,tangram-187.jpg,NA,31,738203,kid,5,NA,24,tippytoe,
NA,kid_13,13,NA,person running,9453.8,tangram,close,tangram-90.jpg,tangram-81.jpg,NA,32,748161,kid,5,NA,14,run,
NA,kid_13,13,NA,someone walking,6879.1,tangram,close,B1.jpg,P1.jpg,NA,33,755547,kid,5,NA,15,walk,
NA,kid_13,13,NA,someone holding a bowl,14914.5,tangram,close,H1.jpg,I1.jpg,NA,34,770967,kid,5,NA,22,holdabowl,
NA,kid_13,13,NA,standing on one leg with one higher,48636.9,tangram,close,tangram-164.jpg,tangram-183.jpg,NA,35,820110,kid,5,NA,35,standononelegwithonehigh,
NA,kid_13,13,NA,bird,5933.9,familiar,close,sparrow.jpg,eagle.jpg,NA,37,836251,kid,5,NA,4,bird,0
NA,kid_13,13,NA,jellybeans,6042.9,familiar,close,jellybeans.jpg,gummybears.jpg,NA,38,842800,kid,5,NA,10,jellybeans,1
NA,kid_13,13,NA,dog,9050.2,familiar,close,germanshepherd.jpg,pug.jpg,NA,39,852354,kid,5,NA,3,dog,0
NA,kid_13,13,NA,brown bear,6865.8,familiar,close,grizzlybear.jpg,polarbear.jpg,NA,40,859725,kid,5,NA,10,brownbear,1
NA,kid_13,13,NA,rectangle table,9683.7,familiar,close,diningtable.jpg,picnictable.jpg,NA,41,869918,kid,5,NA,15,rectangletable,1
NA,kid_13,13,NA,goldfish,11874.5,familiar,close,goldfish.jpg,swordfish.jpg,NA,42,882303,kid,5,NA,8,goldfish,1
NA,kid_13,13,NA,blue shirt,7756.5,familiar,close,poloshirt.jpg,hawaiishirt.jpg,NA,43,890564,kid,5,NA,10,blueshirt,1
NA,kid_13,13,NA,blue car,5679.6,familiar,close,sedan.jpg,sportscar.jpg,NA,44,896749,kid,5,NA,8,bluecar,1
NA,kid_13,13,NA,someone balancing on one foot with one leg higher,19076.8,tangram,far,tangram-164.jpg,tangram-64.jpg,NA,46,932902,kid,5,NA,49,balanceononefootwithoneleghigh,
NA,kid_13,13,NA,somebody running,7560.8,tangram,far,tangram-55.jpg,tangram-143.jpg,NA,47,940970,kid,5,NA,16,run,
NA,kid_13,13,NA,somebody running,8516.1,tangram,far,tangram-67.jpg,G1.jpg,NA,48,949994,kid,5,NA,16,run,
NA,kid_13,13,NA,someone holding a bowl,8301.2,tangram,far,H1.jpg,tangram-8.jpg,NA,49,958804,kid,5,NA,22,holdabowl,
NA,kid_13,13,NA,person running,7112.2,tangram,far,tangram-90.jpg,tangram-120.jpg,NA,50,966422,kid,5,NA,14,run,
NA,kid_13,13,NA,someone tippy-toeing,16446.1,tangram,far,A2.jpg,C1.jpg,NA,51,983375,kid,5,NA,20,tippytoe,
NA,kid_13,13,NA,someone standing on his tippy toe with his leg up,18697.1,tangram,far,tangram-48.jpg,D1.jpg,NA,52,1002579,kid,5,NA,49,tippytoelegup,
