iterationName,id,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,age_group,age,button_pressed,utt_length,clean_utt
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,upsidedown triangle,20875.56,tangram,close,tangram-90.jpg,tangram-81.jpg,survey-text,33,360761,adult,NA,NA,19,upsidedowntriangle
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,balanced square,10989.565,tangram,close,tangram-164.jpg,tangram-183.jpg,survey-text,34,372274,adult,NA,NA,15,balancesquare
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,running,6316.455,tangram,close,tangram-67.jpg,tangram-32.jpg,survey-text,35,379106,adult,NA,NA,7,run
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,shapes compressed,11014.3,tangram,close,H1.jpg,I1.jpg,survey-text,36,390641,adult,NA,NA,17,shapecompress
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,rhombus,6724.675,tangram,close,A2.jpg,tangram-99.jpg,survey-text,37,397887,adult,NA,NA,7,rhombus
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,diamond head,9501.465,tangram,isolated,H1.jpg,I1.jpg,survey-text,39,410129,adult,NA,NA,12,diamondhead
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,running,3199.355,tangram,isolated,tangram-55.jpg,N1.jpg,survey-text,40,413843,adult,NA,NA,7,run
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,looking down,6462.515,tangram,isolated,B1.jpg,P1.jpg,survey-text,41,420820,adult,NA,NA,12,lookdown
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,kicking,3310.555,tangram,isolated,tangram-48.jpg,tangram-187.jpg,survey-text,42,424653,adult,NA,NA,7,kick
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,balanced square,13531.66,tangram,isolated,tangram-164.jpg,tangram-183.jpg,survey-text,43,438696,adult,NA,NA,15,balancesquare
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,upsidedown triangle,4518.175,tangram,isolated,tangram-90.jpg,tangram-81.jpg,survey-text,44,443745,adult,NA,NA,19,upsidedowntriangle
