,iterationName,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,anonymized_id,utt_length,clean_utt
497,testing,running,3503.845,tangram,isolated,A1.jpg,A2.jpg,survey-text,26,186219,9,7,run
499,testing,sad,1922.03,tangram,isolated,B1.jpg,P1.jpg,survey-text,27,188644,9,3,sad
502,testing,bear,3992.045,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,29,194850,9,4,bear
504,testing,goldfish,5801.555,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,30,201154,9,8,goldfish
506,testing,candy,8121.62,familiar,isolated,mnms.jpg,gummybears.jpg,survey-text,31,209779,9,5,candy
507,testing,honda,3087.455,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,32,213371,9,5,honda
509,testing,bird,4089.915,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,33,217964,9,4,bird
510,testing,shirt,3251.805,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,34,221723,9,5,shirt
511,testing,table,2824.98,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,35,225051,9,5,table
513,testing,dog,2920.535,familiar,isolated,germanshepherd.jpg,pug.jpg,survey-text,36,228475,9,3,dog
515,testing,leaning,7159.795,tangram,close,K1.jpg,T1.jpg,survey-text,38,237714,9,7,lean
517,testing,jumping,4978.275,tangram,close,E1.jpg,F1.jpg,survey-text,39,243196,9,7,jump
519,testing,sad,5657.15,tangram,close,G1.jpg,M1.jpg,survey-text,40,249355,9,3,sad
524,testing,excited,16447.67,tangram,close,F1.jpg,W1.jpg,survey-text,41,266307,9,7,excite
527,testing,running,7680.635,tangram,close,A1.jpg,A2.jpg,survey-text,42,274491,9,7,run
529,testing,sad,3976.545,tangram,close,B1.jpg,P1.jpg,survey-text,43,278971,9,3,sad
531,testing,begging,3664.115,tangram,close,H1.jpg,Y1.jpg,survey-text,44,283139,9,7,beg
533,testing,asking,2312.075,tangram,close,I1.jpg,J1.jpg,survey-text,45,285954,9,6,ask
535,testing,blue,4632.16,familiar,far,sedan.jpg,firetruck.jpg,survey-text,47,292643,9,4,blue
538,testing,fish,2536.725,familiar,far,goldfish.jpg,iguana.jpg,survey-text,48,295683,9,4,fish
540,testing,candy,3399.815,familiar,far,mnms.jpg,pretzels.jpg,survey-text,49,299586,9,5,candy
542,testing,shirt,2160.95,familiar,far,poloshirt.jpg,dress.jpg,survey-text,50,302251,9,5,shirt
543,testing,bear,1913.6,familiar,far,grizzlybear.jpg,lion.jpg,survey-text,51,304674,9,4,bear
544,testing,bird,1968.33,familiar,far,sparrow.jpg,squirrel.jpg,survey-text,52,307146,9,4,bird
545,testing,table,1760.215,familiar,far,diningtable.jpg,wardrobe.jpg,survey-text,53,309410,9,5,table
546,testing,dog,1449.545,familiar,far,germanshepherd.jpg,cow.jpg,survey-text,54,311363,9,3,dog
629,testing,logo,13659,tangram,isolated,I1.jpg,J1.jpg,survey-text,2,35887,10,4,logo
631,testing,logo,6986,tangram,isolated,H1.jpg,Y1.jpg,survey-text,3,43374,10,4,logo
633,testing,walkingperson,8755,tangram,isolated,B1.jpg,P1.jpg,survey-text,4,52631,10,13,walkingperson
635,testing,sittingperson,9569,tangram,isolated,E1.jpg,F1.jpg,survey-text,5,62711,10,13,sittingperson
637,testing,dancingman,8713,tangram,isolated,A1.jpg,A2.jpg,survey-text,6,71932,10,10,dancingman
640,testing,somethingflying,13733,tangram,isolated,F1.jpg,W1.jpg,survey-text,7,86169,10,15,somethingflying
641,testing,standingperson,9788,tangram,isolated,K1.jpg,T1.jpg,survey-text,8,96461,10,14,standingperson
643,testing,sittingwoman,6306,tangram,isolated,G1.jpg,M1.jpg,survey-text,9,103271,10,12,sittingwoman
646,testing,car,6694,familiar,close,sedan.jpg,sportscar.jpg,survey-text,11,114668,10,3,car
648,testing,goldenfish,7236,familiar,close,goldfish.jpg,swordfish.jpg,survey-text,12,122412,10,10,goldenfish
650,testing,bird,4772,familiar,close,sparrow.jpg,eagle.jpg,survey-text,13,127694,10,4,bird
651,testing,bear,4189,familiar,close,grizzlybear.jpg,polarbear.jpg,survey-text,14,132396,10,4,bear
653,testing,dog,4905,familiar,close,germanshepherd.jpg,pug.jpg,survey-text,15,137814,10,3,dog
655,testing,tshirt,8172,familiar,close,poloshirt.jpg,hawaiishirt.jpg,survey-text,16,146495,10,6,tshirt
657,testing,candy,5808,familiar,close,mnms.jpg,gummybears.jpg,survey-text,17,152810,10,5,candy
658,testing,table,4700,familiar,close,diningtable.jpg,picnictable.jpg,survey-text,18,158011,10,5,table
660,testing,candy,4072,familiar,isolated,mnms.jpg,gummybears.jpg,survey-text,20,169653,10,5,candy
661,testing,bear,3547,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,21,173708,10,4,bear
663,testing,tshirt,4125,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,22,178351,10,6,tshirt
664,testing,car,2636,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,23,181495,10,3,car
665,testing,dog,3246,familiar,isolated,germanshepherd.jpg,pug.jpg,survey-text,24,185249,10,3,dog
667,testing,bird,2934,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,25,188691,10,4,bird
668,testing,table,4854,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,26,194049,10,5,table
670,testing,fish,3467,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,27,198032,10,4,fish
672,testing,bear,4211,familiar,far,grizzlybear.jpg,lion.jpg,survey-text,29,207569,10,4,bear
673,testing,bird,3834,familiar,far,sparrow.jpg,squirrel.jpg,survey-text,30,211914,10,4,bird
674,testing,tshirt,4239,familiar,far,poloshirt.jpg,dress.jpg,survey-text,31,216673,10,6,tshirt
675,testing,dog,3211,familiar,far,germanshepherd.jpg,cow.jpg,survey-text,32,220391,10,3,dog
676,testing,candy,3533,familiar,far,mnms.jpg,pretzels.jpg,survey-text,33,224432,10,5,candy
677,testing,fish,3259,familiar,far,goldfish.jpg,iguana.jpg,survey-text,34,228208,10,4,fish
678,testing,table,3875,familiar,far,diningtable.jpg,wardrobe.jpg,survey-text,35,232591,10,5,table
679,testing,car,2637,familiar,far,sedan.jpg,firetruck.jpg,survey-text,36,235736,10,3,car
680,testing,standingperson,6175,tangram,far,K1.jpg,V1.jpg,survey-text,38,245935,10,14,standingperson
681,testing,runningperson,7425,tangram,far,F1.jpg,C1.jpg,survey-text,39,253873,10,13,runningperson
682,testing,dancingperon,6478,tangram,far,A1.jpg,D1.jpg,survey-text,40,260861,10,12,dancingperon
683,testing,walkingperson,10386,tangram,far,B1.jpg,O1.jpg,survey-text,41,271754,10,13,walkingperson
684,testing,man,7549,tangram,far,I1.jpg,R1.jpg,survey-text,42,279809,10,3,man
685,testing,sittingperson,8812,tangram,far,E1.jpg,C2.jpg,survey-text,43,289143,10,13,sittingperson
686,testing,sittingwoman,4753,tangram,far,G1.jpg,N1.jpg,survey-text,44,294402,10,12,sittingwoman
687,testing,sittingperson,12204,tangram,far,H1.jpg,A2.jpg,survey-text,45,307111,10,13,sittingperson
688,testing,sittingwoman,6879,tangram,close,G1.jpg,M1.jpg,survey-text,47,317821,10,12,sittingwoman
689,testing,sittingman,4182,tangram,close,E1.jpg,F1.jpg,survey-text,48,322511,10,10,sittingman
690,testing,runningone,6337,tangram,close,A1.jpg,A2.jpg,survey-text,49,329358,10,10,runningone
691,testing,sittingone,4583,tangram,close,H1.jpg,Y1.jpg,survey-text,50,334449,10,10,sittingone
692,testing,runningone,5497,tangram,close,F1.jpg,W1.jpg,survey-text,51,340449,10,10,runningone
693,testing,person,8472,tangram,close,I1.jpg,J1.jpg,survey-text,52,349427,10,6,person
694,testing,standingperson,6098,tangram,close,K1.jpg,T1.jpg,survey-text,53,356031,10,14,standingperson
695,testing,walkingperson,5256,tangram,close,B1.jpg,P1.jpg,survey-text,54,361788,10,13,walkingperson
426,testing,b,9120,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,2,17138,13,1,b
428,testing,t,6031,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,3,23672,13,1,t
430,testing,b,7007,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,4,31212,13,1,b
431,testing,c,3800,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,5,35520,13,1,c
432,testing,f,3655,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,6,39693,13,1,f
447,testing,bird,11554,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,8,101165,13,4,bird
450,testing,dog,3686,familiar,isolated,germanshepherd.jpg,pug.jpg,survey-text,9,105360,13,3,dog
462,testing,begger,6359,tangram,close,I1.jpg,J1.jpg,survey-text,12,136194,13,6,beggar
468,testing,sitting,11723,tangram,close,G1.jpg,M1.jpg,survey-text,13,148427,13,7,sit
473,testing,shadow,11452,tangram,close,K1.jpg,T1.jpg,survey-text,14,160388,13,6,shadow
475,testing,sad,4838,tangram,close,B1.jpg,P1.jpg,survey-text,15,165761,13,3,sad
478,testing,flying,6034,tangram,close,E1.jpg,F1.jpg,survey-text,16,172306,13,6,fly
482,testing,running,5767,tangram,close,A1.jpg,A2.jpg,survey-text,17,178578,13,7,run
486,testing,enloyable,8587,tangram,close,F1.jpg,W1.jpg,survey-text,18,187666,13,9,enjoyable
490,testing,run,5914,tangram,far,A1.jpg,D1.jpg,survey-text,20,197411,13,3,run
493,testing,sad,4131,tangram,far,B1.jpg,O1.jpg,survey-text,21,202053,13,3,sad
498,testing,sitting,9087,tangram,far,G1.jpg,N1.jpg,survey-text,22,211653,13,7,sit
500,testing,begger,4477,tangram,far,I1.jpg,R1.jpg,survey-text,23,216641,13,6,beggar
503,testing,standing,6567,tangram,far,K1.jpg,V1.jpg,survey-text,24,223743,13,8,stand
508,testing,enjoyable,15709,tangram,far,F1.jpg,C1.jpg,survey-text,25,239978,13,9,enjoyable
512,testing,enjoyable,7897,tangram,far,E1.jpg,C2.jpg,survey-text,26,248395,13,9,enjoyable
514,testing,sitting,6394,tangram,far,H1.jpg,A2.jpg,survey-text,27,255295,13,7,sit
516,testing,bench,5760,familiar,close,diningtable.jpg,picnictable.jpg,survey-text,29,265650,13,5,bench
518,testing,shirt,4126,familiar,close,poloshirt.jpg,hawaiishirt.jpg,survey-text,30,270293,13,5,shirt
520,testing,fish,2628,familiar,close,goldfish.jpg,swordfish.jpg,survey-text,31,273435,13,4,fish
521,testing,dog,2690,familiar,close,germanshepherd.jpg,pug.jpg,survey-text,32,276637,13,3,dog
522,testing,bird,3683,familiar,close,sparrow.jpg,eagle.jpg,survey-text,33,280827,13,4,bird
523,testing,bear,2776,familiar,close,grizzlybear.jpg,polarbear.jpg,survey-text,34,284114,13,4,bear
525,testing,chocolate,5752,familiar,close,mnms.jpg,gummybears.jpg,survey-text,35,290379,13,9,chocolate
526,testing,car,2124,familiar,close,sedan.jpg,sportscar.jpg,survey-text,36,293032,13,3,car
528,testing,dog,2453,familiar,far,germanshepherd.jpg,cow.jpg,survey-text,38,301634,13,3,dog
530,testing,chocolate,3254,familiar,far,mnms.jpg,pretzels.jpg,survey-text,39,305400,13,9,chocolate
532,testing,shirt,2914,familiar,far,poloshirt.jpg,dress.jpg,survey-text,40,308829,13,5,shirt
534,testing,bird,3330,familiar,far,sparrow.jpg,squirrel.jpg,survey-text,41,312679,13,4,bird
536,testing,bench,2860,familiar,far,diningtable.jpg,wardrobe.jpg,survey-text,42,316048,13,5,bench
