"","iterationName","wID","aID","utterance","rt","target_type","competitor_type","target","foil","trial_type","trial_index","time_elapsed","utt_length","clean_utt"
"102","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","brown bear",10669.3499999819,"familiar","close","grizzlybear.jpg","polarbear.jpg","survey-text",8,155400,10,"brownbear"
"103","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","gold fish",7800.95999999321,"familiar","close","goldfish.jpg","swordfish.jpg","survey-text",9,163715,9,"goldfish"
"104","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","brown table",8906.74000000581,"familiar","close","diningtable.jpg","picnictable.jpg","survey-text",10,173144,11,"browntable"
"105","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","light blue",8339.31999999913,"familiar","far","poloshirt.jpg","dress.jpg","survey-text",12,187366,10,"lightblue"
"106","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","colorful",4210.21499999915,"familiar","far","mnms.jpg","pretzels.jpg","survey-text",13,192098,8,"colorful"
"107","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","beak",2902.42499997839,"familiar","far","sparrow.jpg","squirrel.jpg","survey-text",14,195521,4,"beak"
"108","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","orange fish",5519.19999998063,"familiar","far","goldfish.jpg","iguana.jpg","survey-text",15,201559,11,"orangefish"
"109","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","four legs",4585.09000000777,"familiar","far","diningtable.jpg","wardrobe.jpg","survey-text",16,206650,9,"fourleg"
"110","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","grizzly",6435.08499997552,"familiar","far","grizzlybear.jpg","lion.jpg","survey-text",17,213611,7,"grizzly"
"111","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","bark",9099.02500000317,"familiar","far","germanshepherd.jpg","cow.jpg","survey-text",18,223222,4,"bark"
"112","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","family car",10874.8999999953,"familiar","far","sedan.jpg","firetruck.jpg","survey-text",19,234613,10,"familycar"
"113","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","collared shirt",9872.05499998527,"familiar","isolated","poloshirt.jpg","hawaiishirt.jpg","survey-text",21,248318,14,"collarshirt"
"114","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","dining table",9344.39000001294,"familiar","isolated","diningtable.jpg","picnictable.jpg","survey-text",22,258183,12,"dinetable"
"115","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","grizzly",4028.62499997718,"familiar","isolated","grizzlybear.jpg","polarbear.jpg","survey-text",23,262728,7,"grizzly"
"116","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","small bird",10018.8000000198,"familiar","isolated","sparrow.jpg","eagle.jpg","survey-text",24,273257,10,"smallbird"
"117","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","dog",10007.9550000082,"familiar","isolated","germanshepherd.jpg","pug.jpg","survey-text",25,283778,3,"dog"
