iterationName,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed
full_sample,84,3RXCAC0YISERHPFGBJ0SECZKRL2G86,Slide,25445.420000702143,tangram,isolated,tangram-140.jpg,NA,survey-text,26,309220
full_sample,101,3E337GFOLAXCKW2KHLPBW9PFGG3NG3,runner,8700.999999884516,tangram,isolated,tangram-192.jpg,NA,survey-text,11,121737
full_sample,51,3Z4XG4ZF49G23BA60T0W2YZFUBY8XQ,playing,5603.365000104532,tangram,isolated,O1.jpg,NA,survey-text,13,182079
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,priest,6498.759999987669,tangram,isolated,tangram-6.jpg,NA,survey-text,15,74354
full_sample,55,3SB4CE2TJWKGMZ3LXRKAYP5AKZZAXX,flying,6832.110000002896,tangram,isolated,J1.jpg,NA,survey-text,28,647768
full_sample,108,3II4UPYCOKWUB95LVNGKUIHN8Z8QDH,prayer,12228.425000001153,tangram,isolated,tangram-155.jpg,NA,survey-text,21,229312
full_sample,97,3R6P78PK7L0AF974EHBN58V75YNTG8,strawberry,6995.269999955781,catch,NA,catch_trial.jpg,NA,survey-text,17,228381
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,child,3244.139999966137,tangram,isolated,tangram-71.jpg,NA,survey-text,16,78100
full_sample,101,3E337GFOLAXCKW2KHLPBW9PFGG3NG3,player,5555.000000167638,tangram,isolated,tangram-183.jpg,NA,survey-text,12,127803
full_sample,51,3Z4XG4ZF49G23BA60T0W2YZFUBY8XQ,Walking,4137.984999921173,tangram,isolated,tangram-146.jpg,NA,survey-text,14,186733
full_sample,84,3RXCAC0YISERHPFGBJ0SECZKRL2G86,Fall,7611.254999414086,tangram,isolated,tangram-8.jpg,NA,survey-text,27,317340
full_sample,13,36H9ULYP63JAN6F4R3R1LH8M6HXJFV,pointing,16652,tangram,isolated,tangram-126.jpg,NA,survey-text,16,133320
full_sample,59,3TPWUS5F8AQPQEVT70KF21HRB0FCW9,trick,44696,tangram,isolated,tangram-74.jpg,NA,survey-text,23,257064
full_sample,51,3Z4XG4ZF49G23BA60T0W2YZFUBY8XQ,dance,3205.840000184253,tangram,isolated,tangram-8.jpg,NA,survey-text,15,190460
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,strawberry,4581.264999927953,catch,NA,catch_trial.jpg,NA,survey-text,17,83185
full_sample,13,36H9ULYP63JAN6F4R3R1LH8M6HXJFV,strawberry,4243,catch,NA,catch_trial.jpg,NA,survey-text,17,138069
full_sample,101,3E337GFOLAXCKW2KHLPBW9PFGG3NG3,girl,6150.99999983795,tangram,isolated,A2.jpg,NA,survey-text,13,134462
full_sample,51,3Z4XG4ZF49G23BA60T0W2YZFUBY8XQ,walking,4634.54999984242,tangram,isolated,B1.jpg,NA,survey-text,16,195612
full_sample,59,3TPWUS5F8AQPQEVT70KF21HRB0FCW9,doorman,7374,tangram,isolated,C2.jpg,NA,survey-text,24,264952
full_sample,13,36H9ULYP63JAN6F4R3R1LH8M6HXJFV,jumping,3522,tangram,isolated,tangram-32.jpg,NA,survey-text,18,142093
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,read,5342.724999994971,tangram,isolated,tangram-155.jpg,NA,survey-text,18,89030
full_sample,108,3II4UPYCOKWUB95LVNGKUIHN8Z8QDH,monk,14118.000000002212,tangram,isolated,C2.jpg,NA,survey-text,22,243935
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,sprint,2482.3099999921396,tangram,isolated,tangram-55.jpg,NA,survey-text,19,92015
full_sample,84,3RXCAC0YISERHPFGBJ0SECZKRL2G86,Sorrow,12106.294999830425,tangram,isolated,C2.jpg,NA,survey-text,28,329959
full_sample,13,36H9ULYP63JAN6F4R3R1LH8M6HXJFV,sprinting,3710,tangram,isolated,tangram-67.jpg,NA,survey-text,19,146309
full_sample,59,3TPWUS5F8AQPQEVT70KF21HRB0FCW9,priest,4969,tangram,isolated,H1.jpg,NA,survey-text,25,270430
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,running,2387.929999968037,tangram,isolated,R1.jpg,NA,survey-text,20,94906
full_sample,55,3SB4CE2TJWKGMZ3LXRKAYP5AKZZAXX,backwards,19063.309999997728,tangram,isolated,tangram-146.jpg,NA,survey-text,29,667336
full_sample,101,3E337GFOLAXCKW2KHLPBW9PFGG3NG3,olderman,10665.000000037253,tangram,isolated,tangram-9.jpg,NA,survey-text,14,145634
full_sample,108,3II4UPYCOKWUB95LVNGKUIHN8Z8QDH,sprinter,5309.509999999136,tangram,isolated,tangram-150.jpg,NA,survey-text,23,249750
full_sample,97,3R6P78PK7L0AF974EHBN58V75YNTG8,pulpit,21011.50000002235,tangram,isolated,tangram-142.jpg,NA,survey-text,18,249921
full_sample,51,3Z4XG4ZF49G23BA60T0W2YZFUBY8XQ,strawberry,9986.80999991484,catch,NA,catch_trial.jpg,NA,survey-text,17,206112
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,dance,2883.365000016056,tangram,isolated,L1.jpg,NA,survey-text,21,98291
full_sample,84,3RXCAC0YISERHPFGBJ0SECZKRL2G86,Joy,6350.554999895394,tangram,isolated,E1.jpg,NA,survey-text,29,336817
full_sample,13,36H9ULYP63JAN6F4R3R1LH8M6HXJFV,contorted,6912,tangram,isolated,tangram-87.jpg,NA,survey-text,20,153723
full_sample,109,3I2PTA7R3UJ2PFBVN427YVCDS86QKV,CANDLE,7986.160000029486,tangram,isolated,Y1.jpg,NA,survey-text,2,43245
full_sample,59,3TPWUS5F8AQPQEVT70KF21HRB0FCW9,teenager,7057,tangram,isolated,D1.jpg,NA,survey-text,26,277994
full_sample,108,3II4UPYCOKWUB95LVNGKUIHN8Z8QDH,kicker,4689.644999998563,tangram,isolated,tangram-187.jpg,NA,survey-text,24,254945
full_sample,51,3Z4XG4ZF49G23BA60T0W2YZFUBY8XQ,running,4231.02999990806,tangram,isolated,R1.jpg,NA,survey-text,18,210857
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,fall,4293.665000004694,tangram,isolated,tangram-183.jpg,NA,survey-text,22,103087
full_sample,55,3SB4CE2TJWKGMZ3LXRKAYP5AKZZAXX,reaching,7672.425000004354,tangram,isolated,T1.jpg,NA,survey-text,30,675512
full_sample,13,36H9ULYP63JAN6F4R3R1LH8M6HXJFV,throwing,3496,tangram,isolated,F1.jpg,NA,survey-text,21,157721
full_sample,84,3RXCAC0YISERHPFGBJ0SECZKRL2G86,Dance,5846.075000241399,tangram,isolated,W1.jpg,NA,survey-text,30,343170
