_id,iterationName,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed
ObjectId(602313dcbcc57556719dc647),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,show,4815.030000172555,tangram,isolated,K1.jpg,NA,survey-text,15,308484
ObjectId(602313e5bcc57556719dc648),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,horizontal,11466.00000000035,tangram,isolated,tangram-142.jpg,NA,survey-text,7,144875
ObjectId(602313ebbcc57556719dc649),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,stand,14616.644999943674,tangram,isolated,A1.jpg,NA,survey-text,16,323611
ObjectId(602313f2bcc57556719dc64a),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,Tangram,11752.000000000407,tangram,isolated,tangram-183.jpg,NA,survey-text,8,157178
ObjectId(602313febcc57556719dc64b),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,horizontal,12023.999999999418,tangram,isolated,F1.jpg,NA,survey-text,9,169713
ObjectId(6023140cbcc57556719dc64c),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,strawberry,32904.65999953449,catch,NA,catch_trial.jpg,NA,survey-text,17,357031
ObjectId(60231411bcc57556719dc64d),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,fast,4279.775000177324,tangram,isolated,tangram-55.jpg,NA,survey-text,18,361822
ObjectId(60231419bcc57556719dc64e),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,eye,7352.824999950826,tangram,isolated,M1.jpg,NA,survey-text,19,369688
ObjectId(6023141abcc57556719dc64f),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,language,26867.000000000204,tangram,isolated,tangram-55.jpg,NA,survey-text,10,197090
ObjectId(60231423bcc57556719dc650),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,look,9691.525000147521,tangram,isolated,tangram-90.jpg,NA,survey-text,20,379891
ObjectId(60231428bcc57556719dc651),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,Tangram,14227.000000000757,tangram,isolated,J1.jpg,NA,survey-text,11,211821
ObjectId(6023142fbcc57556719dc652),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,wall,10674.699999392033,tangram,isolated,L1.jpg,NA,survey-text,21,391087
ObjectId(60231434bcc57556719dc653),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,dot,11695.000000001543,tangram,isolated,tangram-87.jpg,NA,survey-text,12,224021
ObjectId(6023143abcc57556719dc654),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,room,10739.869999699295,tangram,isolated,N1.jpg,NA,survey-text,22,402343
ObjectId(60231440bcc57556719dc655),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,look,5849.004999734461,tangram,isolated,G1.jpg,NA,survey-text,23,408702
ObjectId(60231441bcc57556719dc656),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,Tangram,11692.999999999302,tangram,isolated,K1.jpg,NA,survey-text,13,236220
ObjectId(6023144bbcc57556719dc658),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,block,10794.935000129044,tangram,isolated,tangram-99.jpg,NA,survey-text,24,420010
ObjectId(6023144cbcc57556719dc659),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,Tangram,11308.000000000902,tangram,isolated,tangram-146.jpg,NA,survey-text,14,248036
ObjectId(60231451bcc57556719dc65d),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,kick,5044.555000029504,tangram,isolated,tangram-187.jpg,NA,survey-text,25,425568
ObjectId(60231456bcc57556719dc65e),full_sample2,124,3C6FJU71TRIP1D7T8SN3H4ODYSIYU9,woman,4490.489999996498,tangram,isolated,tangram-99.jpg,NA,survey-text,2,106432
ObjectId(60231458bcc57556719dc65f),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,language,11145.000000000466,tangram,isolated,T1.jpg,NA,survey-text,15,259687
ObjectId(60231459bcc57556719dc660),full_sample2,109,3PB5A5BD0WVNHBAX1E8M0C3PLM57GU,bird,10494.290000002366,tangram,isolated,tangram-106.jpg,NA,survey-text,2,32083
ObjectId(6023145abcc57556719dc661),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,under,8679.39000017941,tangram,isolated,tangram-74.jpg,NA,survey-text,26,434758
ObjectId(6023145bbcc57556719dc662),full_sample2,124,3C6FJU71TRIP1D7T8SN3H4ODYSIYU9,dancing,4678.695000009611,tangram,isolated,tangram-168.jpg,NA,survey-text,3,111615
ObjectId(60231460bcc57556719dc663),full_sample2,124,3C6FJU71TRIP1D7T8SN3H4ODYSIYU9,gown,4220.159999997122,tangram,isolated,tangram-103.jpg,NA,survey-text,4,116342
ObjectId(60231461bcc57556719dc664),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,kick,6688.385000452399,tangram,isolated,tangram-48.jpg,NA,survey-text,27,441971
ObjectId(60231464bcc57556719dc665),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,Tangram,11036.000000000058,tangram,isolated,tangram-99.jpg,NA,survey-text,16,271229
ObjectId(60231464bcc57556719dc666),full_sample2,124,3C6FJU71TRIP1D7T8SN3H4ODYSIYU9,statue,3342.5050000078045,tangram,isolated,M1.jpg,NA,survey-text,5,120190
ObjectId(60231466bcc57556719dc667),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,pick,4373.145000077784,tangram,isolated,F1.jpg,NA,survey-text,28,446859
ObjectId(60231469bcc57556719dc668),full_sample2,124,3C6FJU71TRIP1D7T8SN3H4ODYSIYU9,dancing,4213.950000004843,tangram,isolated,tangram-119.jpg,NA,survey-text,6,124911
ObjectId(6023146cbcc57556719dc669),full_sample2,124,3C6FJU71TRIP1D7T8SN3H4ODYSIYU9,pointing,2781.119999999646,tangram,isolated,tangram-142.jpg,NA,survey-text,7,128199
ObjectId(6023146cbcc57556719dc66a),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,down,5344.495000317693,tangram,isolated,tangram-4.jpg,NA,survey-text,29,452717
ObjectId(6023146fbcc57556719dc66b),full_sample2,124,3C6FJU71TRIP1D7T8SN3H4ODYSIYU9,laying,2465.200000006007,tangram,isolated,D1.jpg,NA,survey-text,8,131173
ObjectId(60231471bcc57556719dc66c),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,strawberry,13058.000000000931,catch,NA,catch_trial.jpg,NA,survey-text,17,284789
ObjectId(60231472bcc57556719dc66d),full_sample2,124,3C6FJU71TRIP1D7T8SN3H4ODYSIYU9,running,2141.6749999916647,tangram,isolated,N1.jpg,NA,survey-text,9,133830
ObjectId(60231474bcc57556719dc66e),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,bad,7466.564999893308,tangram,isolated,tangram-183.jpg,NA,survey-text,30,460695
ObjectId(60231475bcc57556719dc66f),full_sample2,124,3C6FJU71TRIP1D7T8SN3H4ODYSIYU9,praying,2731.884999986505,tangram,isolated,J1.jpg,NA,survey-text,10,137075
ObjectId(60231478bcc57556719dc670),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,sad,3079.7200007364154,tangram,isolated,tangram-30.jpg,NA,survey-text,31,464286
ObjectId(60231478bcc57556719dc671),full_sample2,124,3C6FJU71TRIP1D7T8SN3H4ODYSIYU9,statue,2875.369999994291,tangram,isolated,tangram-120.jpg,NA,survey-text,11,140462
ObjectId(6023147bbcc57556719dc672),full_sample2,124,3C6FJU71TRIP1D7T8SN3H4ODYSIYU9,kicking,2173.9349999988917,tangram,isolated,tangram-48.jpg,NA,survey-text,12,143146
ObjectId(6023147cbcc57556719dc673),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,fad,3689.6199993789196,tangram,isolated,tangram-87.jpg,NA,survey-text,32,468487
ObjectId(6023147fbcc57556719dc674),full_sample2,124,3C6FJU71TRIP1D7T8SN3H4ODYSIYU9,throwing,3599.8649999964982,tangram,isolated,tangram-150.jpg,NA,survey-text,13,147257
